Time,Node,X,Y,ElectricField,MagneticField
0.04,77,0.777778,0.777778,0,0
0.04,78,0.888889,0.777778,0,0
0.04,79,1,0.777778,0,0
0.04,80,0,0.888889,0,0
0.04,81,0.111111,0.888889,0,0
0.04,82,0.222222,0.888889,0,0
0.04,83,0.333333,0.888889,0,0
0.04,84,0.444444,0.888889,0,0
0.04,85,0.555556,0.888889,0,0
0.04,86,0.666667,0.888889,0,0
0.04,87,0.777778,0.888889,0,0
0.04,88,0.888889,0.888889,0,0
0.04,89,1,0.888889,0,0
0.04,90,0,1,0,0
0.04,91,0.111111,1,0,0
0.04,92,0.222222,1,0,0
0.04,93,0.333333,1,0,0
0.04,94,0.444444,1,0,0
0.04,95,0.555556,1,0,0
0.04,96,0.666667,1,0,0
0.04,97,0.777778,1,0,0
0.04,98,0.888889,1,0,0
0.04,99,1,1,0,0
0.05,0,0,0,0,0
0.05,1,0.111111,0,0,0
0.05,2,0.222222,0,0,0
0.05,3,0.333333,0,0,0
0.05,4,0.444444,0,0,0
0.05,5,0.555556,0,0,0
0.05,6,0.666667,0,0,0
0.05,7,0.777778,0,0,0
0.05,8,0.888889,0,0,0
0.05,9,1,0,0,0
0.05,10,0,0.111111,0,0
0.05,11,0.111111,0.111111,0,0
0.05,12,0.222222,0.111111,0,0
0.05,13,0.333333,0.111111,0,0
0.05,14,0.444444,0.111111,0,0
0.05,15,0.555556,0.111111,0,0
0.05,16,0.666667,0.111111,0,0
0.05,17,0.777778,0.111111,0,0
0.05,18,0.888889,0.111111,0,0
0.05,19,1,0.111111,0,0
0.05,20,0,0.222222,0,0
0.05,21,0.111111,0.222222,0,0
0.05,22,0.222222,0.222222,0,0
0.05,23,0.333333,0.222222,0,0
0.05,24,0.444444,0.222222,0,0
0.05,25,0.555556,0.222222,0,0
0.05,26,0.666667,0.222222,0,0
0.05,27,0.777778,0.222222,0,0
0.05,28,0.888889,0.222222,0,0
0.05,29,1,0.222222,0,0
0.05,30,0,0.333333,0,0
0.05,31,0.111111,0.333333,0,0
0.05,32,0.222222,0.333333,0,0
0.05,33,0.333333,0.333333,0,0
0.05,34,0.444444,0.333333,0,0
0.05,35,0.555556,0.333333,0,0
0.05,36,0.666667,0.333333,0,0
0.05,37,0.777778,0.333333,0,0
0.05,38,0.888889,0.333333,0,0
0.05,39,1,0.333333,0,0
0.05,40,0,0.444444,0,0
0.05,41,0.111111,0.444444,0,0
0.05,42,0.222222,0.444444,0,0
0.05,43,0.333333,0.444444,0,0
0.05,44,0.444444,0.444444,0,0
0.05,45,0.555556,0.444444,0,0
0.05,46,0.666667,0.444444,0,0
0.05,47,0.777778,0.444444,0,0
0.05,48,0.888889,0.444444,0,0
0.05,49,1,0.444444,0,0
0.05,50,0,0.555556,0,0
0.05,51,0.111111,0.555556,0,0
0.05,52,0.222222,0.555556,0,0
0.05,53,0.333333,0.555556,0,0
0.05,54,0.444444,0.555556,0,0
0.05,55,0.555556,0.555556,0,0
0.05,56,0.666667,0.555556,0,0
0.05,57,0.777778,0.555556,0,0
0.05,58,0.888889,0.555556,0,0
0.05,59,1,0.555556,0,0
0.05,60,0,0.666667,0,0
0.05,61,0.111111,0.666667,0,0
0.05,62,0.222222,0.666667,0,0
0.05,63,0.333333,0.666667,0,0
0.05,64,0.444444,0.666667,0,0
0.05,65,0.555556,0.666667,0,0
0.05,66,0.666667,0.666667,0,0
0.05,67,0.777778,0.666667,0,0
0.05,68,0.888889,0.666667,0,0
0.05,69,1,0.666667,0,0
0.05,70,0,0.777778,0,0
0.05,71,0.111111,0.777778,0,0
0.05,72,0.222222,0.777778,0,0
0.05,73,0.333333,0.777778,0,0
0.05,74,0.444444,0.777778,0,0
0.05,75,0.555556,0.777778,0,0
0.05,76,0.666667,0.777778,0,0
0.05,77,0.777778,0.777778,0,0
0.05,78,0.888889,0.777778,0,0
0.05,79,1,0.777778,0,0
0.05,80,0,0.888889,0,0
0.05,81,0.111111,0.888889,0,0
0.05,82,0.222222,0.888889,0,0
0.05,83,0.333333,0.888889,0,0
0.05,84,0.444444,0.888889,0,0
0.05,85,0.555556,0.888889,0,0
0.05,86,0.666667,0.888889,0,0
0.05,87,0.777778,0.888889,0,0
0.05,88,0.888889,0.888889,0,0
0.05,89,1,0.888889,0,0
0.05,90,0,1,0,0
0.05,91,0.111111,1,0,0
0.05,92,0.222222,1,0,0
0.05,93,0.333333,1,0,0
0.05,94,0.444444,1,0,0
0.05,95,0.555556,1,0,0
0.05,96,0.666667,1,0,0
0.05,97,0.777778,1,0,0
0.05,98,0.888889,1,0,0
0.05,99,1,1,0,0
0.06,0,0,0,0,0
0.06,1,0.111111,0,0,0
0.06,2,0.222222,0,0,0
0.06,3,0.333333,0,0,0
0.06,4,0.444444,0,0,0
0.06,5,0.555556,0,0,0
0.06,6,0.666667,0,0,0
0.06,7,0.777778,0,0,0
0.06,8,0.888889,0,0,0
0.06,9,1,0,0,0
0.06,10,0,0.111111,0,0
0.06,11,0.111111,0.111111,0,0
0.06,12,0.222222,0.111111,0,0
0.06,13,0.333333,0.111111,0,0
0.06,14,0.444444,0.111111,0,0
0.06,15,0.555556,0.111111,0,0
0.06,16,0.666667,0.111111,0,0
0.06,17,0.777778,0.111111,0,0
0.06,18,0.888889,0.111111,0,0
0.06,19,1,0.111111,0,0
0.06,20,0,0.222222,0,0
0.06,21,0.111111,0.222222,0,0
